Job title,Company name,Posted on,Salary,Job type,Location,Description,Apply link
Senior Demand Gen Manager,The Access Group,5 days ago,Competitive salary,"Permanent, full-time","City of London, London","Senior Demand Generation Manager - Paysuite We're looking for people to join the Access family, who share our passion for believing in better, and who...",https://www.reed.co.uk/jobs/senior-demand-gen-manager/54341260?source=searchResults&filter=%2Fjobs%3FsortBy%3DdisplayDate%26pageno%3D2%26dateCreatedOffSet%3Dlastweek
Barista,Costa Coffee,1 hr ago,£12 - £13 per hour,"Contract, full-time","Ellesmere Port, Merseyside","Barista At Costa Coffee, we are what we craft. It’s about perfecting latte art, creating experiences that put a smile on people’s faces, and proudly making greatness every day. And as a Barista, you can too. So, why Costa? Pay rate of 12.00-13.00 per...",https://www.reed.co.uk/jobs/barista/54375622?source=searchResults&filter=%2Fjobs%3FsortBy%3DdisplayDate%26pageno%3D2%26dateCreatedOffSet%3Dlastweek
Barista Maestro,Costa Coffee,1 hr ago,£12.33 - £13.33 per hour,"Permanent, full-time",South West England,"Team Leader Key holder (Barista Maestro) Fully flexible At Costa Coffee, we are what we craft. It’s about blending beans with dedication, serving up memorable moments, and proudly making greatness every day. And as a Team Leader, you can too. So, why...",https://www.reed.co.uk/jobs/barista-maestro/54375623?source=searchResults&filter=%2Fjobs%3FsortBy%3DdisplayDate%26pageno%3D2%26dateCreatedOffSet%3Dlastweek
Supervisor Team Leader,Costa Coffee,1 hr ago,£12.33 - £13.33 per hour,"Permanent, full-time","Nantgarw, South Glamorgan","Team Leader (Barista Maestro) – Caerphilly – 16 Hours Per Week (Flexible) – Permanent At Costa Coffee, we are what we craft. It’s about blending beans with dedication, serving up memorable moments, and proudly making greatness every day. And as a Tea...",https://www.reed.co.uk/jobs/supervisor-team-leader/54375624?source=searchResults&filter=%2Fjobs%3FsortBy%3DdisplayDate%26pageno%3D2%26dateCreatedOffSet%3Dlastweek
Team Member,Welcome Break,1 hr ago,£11.60 per hour,"Permanent, full-time or part-time","Shifnal, Shropshire","Team Member Welcome Break, Burger King, Telford, TF11 8TG Pay up to 11.60ph plus 1 on-shift meals Immediate start and flexible full-time or part-time customer service positions available Our team member roles are varied across different sites and bra...",https://www.reed.co.uk/jobs/team-member/54375621?source=searchResults&filter=%2Fjobs%3FsortBy%3DdisplayDate%26pageno%3D2%26dateCreatedOffSet%3Dlastweek
Account Manager,Veritone,1 hr ago,Competitive salary,"Permanent, full-time","Peterborough, Cambridgeshire","Red Rock Partnership are delighted to be working with our prestigious client in Peterborough who are looking for Account Manager to join their busy team. About The Role: To develop and broaden the clients relationship with existing Customers, while i...",https://www.reed.co.uk/jobs/account-manager/54375618?source=searchResults&filter=%2Fjobs%3FsortBy%3DdisplayDate%26pageno%3D2%26dateCreatedOffSet%3Dlastweek
SEN Teacher,Veritone,1 hr ago,Competitive salary,"Permanent, full-time","Bognor Regis, West Sussex","Are you looking for a school that cares, a team that supports and a learner who is keen to thrive? Do you dream of joining a team that works together and guarantees a safe and enabling environment to learners with complex needs? Do want to work withi...",https://www.reed.co.uk/jobs/sen-teacher/54375619?source=searchResults&filter=%2Fjobs%3FsortBy%3DdisplayDate%26pageno%3D2%26dateCreatedOffSet%3Dlastweek
Recruitment Account Manager,Veritone,1 hr ago,Competitive salary,"Permanent, full-time","Canwick, Lincolnshire",Red Rock Partnership have a vacancy for an Account Manager based at our Lincoln Branch. About the business: Red Rock Partnership is a national recruitment provider supporting our clients in a true partnership approach delivering a best-in-class servi...,https://www.reed.co.uk/jobs/recruitment-account-manager/54375610?source=searchResults&filter=%2Fjobs%3FsortBy%3DdisplayDate%26pageno%3D2%26dateCreatedOffSet%3Dlastweek
Complex Needs Teaching Assistant,Veritone,1 hr ago,Competitive salary,"Permanent, full-time","Blackburn, Lancashire","Do you have any past expertise working with children in a nurturing environment? Does working in KS1 fill your days with excitement and challenges? Are you passionate about dealing with kids that need extra help learning on a one-to-one basis? If so,...",https://www.reed.co.uk/jobs/complex-needs-teaching-assistant/54375611?source=searchResults&filter=%2Fjobs%3FsortBy%3DdisplayDate%26pageno%3D2%26dateCreatedOffSet%3Dlastweek
Maths Teacher,Veritone,1 hr ago,Competitive salary,"Permanent, full-time","Steyning, West Sussex","KS4 Maths Teacher Needed - Fixed Term Contract - February Start Are you a passionate and dedicated Maths teacher seeking a rewarding and flexible opportunity? This thriving secondary school near Steyning in West Sussex, is looking for a qualified Mat...",https://www.reed.co.uk/jobs/maths-teacher/54375612?source=searchResults&filter=%2Fjobs%3FsortBy%3DdisplayDate%26pageno%3D2%26dateCreatedOffSet%3Dlastweek
